,0,1,2,3,4+,sum_real,sum_pred,0,1,2,3,4+,sum_real,sum_pred,name
0,478,48,529,395,365,1815,1189,0.06056766345666498,0.006082108464267613,0.06702990369994932,0.05005068423720223,0.04624936644703497,0.22997972630511912,0.15065889508362898,EWS_All_SVM
1,205,30,317,387,348,1287,211,0.02597567156614293,0.003801317790167258,0.04016725798276736,0.04903699949315763,0.04409528636594019,0.16307653319817536,0.02673593512417638,EWS_All_SVM
2,232,47,444,529,414,1666,1976,0.02939685757729346,0.005955397871262038,0.05625950329447542,0.06702990369994932,0.05245818550430816,0.2110998479472884,0.25038013177901675,EWS_All_SVM
3,139,38,331,538,352,1398,2472,0.017612772427774964,0.00481500253421186,0.04194120628484541,0.06817029903699949,0.044602128737962494,0.17714140902179423,0.31322858590978203,EWS_All_SVM
4+,135,48,355,623,565,1726,2044,0.01710593005575266,0.006082108464267613,0.04498226051697922,0.0789406994424734,0.07159148504815002,0.21870248352762292,0.25899645210339584,EWS_All_SVM
0,496,42,546,363,368,1815,1228,0.06284845413076533,0.0053218449062341616,0.0691839837810441,0.045995945261023824,0.0466294982260517,0.22997972630511912,0.15560060821084643,EWS_All_XGB
1,211,23,346,321,386,1287,157,0.02673593512417638,0.002914343639128231,0.043841865179929045,0.04067410035478966,0.04891028890015205,0.16307653319817536,0.019893563101875317,EWS_All_XGB
2,252,38,455,494,427,1666,2037,0.031931069437404966,0.00481500253421186,0.05765331981753675,0.06259503294475419,0.05410542321338064,0.2110998479472884,0.25810947795235684,EWS_All_XGB
3,149,24,322,505,398,1398,2276,0.018879878357830716,0.0030410542321338066,0.04080081094779524,0.06398884946781551,0.05043081601621895,0.17714140902179423,0.2883933096806893,EWS_All_XGB
4+,120,30,368,593,615,1726,2194,0.015205271160669031,0.003801317790167258,0.0466294982260517,0.07513938165230613,0.07792701469842879,0.21870248352762292,0.2780030410542321,EWS_All_XGB
0,702,352,310,194,257,1815,1730,0.08895083628991383,0.044602128737962494,0.03928028383172833,0.0245818550430816,0.032564622402432845,0.22997972630511912,0.2192093258996452,EWS_All_LSTM
1,336,261,196,224,270,1287,1421,0.04257475924987329,0.03307146477445515,0.02483527622909275,0.02838317283324886,0.03421186011150532,0.16307653319817536,0.18005575266092244,EWS_All_LSTM
2,329,311,334,300,392,1666,1285,0.041687785098834265,0.03940699442473391,0.04232133806386214,0.03801317790167258,0.0496705524581855,0.2110998479472884,0.1628231120121642,EWS_All_LSTM
3,197,243,235,346,377,1398,1438,0.02496198682209833,0.03079067410035479,0.029776989356310186,0.043841865179929045,0.04776989356310188,0.17714140902179423,0.18220983274201724,EWS_All_LSTM
4+,166,254,210,374,722,1726,2018,0.021033958438925495,0.03218449062341612,0.026609224531170806,0.047389761784085147,0.09148504815002534,0.21870248352762292,0.2557019766852509,EWS_All_LSTM
0,971,228,258,225,133,1815,2202,0.12303598580841359,0.02889001520527116,0.032691332995438416,0.028509883426254434,0.01685250886974151,0.22997972630511912,0.27901672579827674,EWS_All_GRU
1,483,201,191,277,135,1287,1034,0.06120121642169286,0.025468829194120628,0.024201723264064876,0.03509883426254435,0.01710593005575266,0.16307653319817536,0.13101875316776482,EWS_All_GRU
2,367,228,372,468,231,1666,1380,0.04650278763304612,0.02889001520527116,0.047136340598074,0.059300557526609225,0.029270146984287888,0.2110998479472884,0.17486061834769387,EWS_All_GRU
3,189,194,274,502,239,1398,2068,0.023948302078053724,0.0245818550430816,0.034718702483527625,0.06360871768879878,0.03028383172833249,0.17714140902179423,0.26203750633552964,EWS_All_GRU
4+,192,183,285,596,470,1726,1208,0.024328433857070453,0.023188038520020274,0.036112519006588954,0.07551951343132286,0.05955397871262037,0.21870248352762292,0.15306639635073493,EWS_All_GRU
0,99,49,65,68,45,326,805,0.0407911001236094,0.02018953440461475,0.026782035434693038,0.028018129377832716,0.018541409147095178,0.13432220848784507,0.33168520807581375,EWS_u_65_SVM
1,123,35,60,77,57,352,196,0.05067985166872682,0.01442109600329625,0.024721878862793572,0.03172641120725175,0.023485784919653894,0.1450350226617223,0.080758137618459,EWS_u_65_SVM
2,167,38,77,115,95,492,379,0.06880922950144211,0.015657189946435928,0.03172641120725175,0.04738360115368768,0.03914297486608982,0.2027194066749073,0.1561598681499794,EWS_u_65_SVM
3,185,28,86,134,86,519,579,0.07622579316028018,0.011536876802637,0.03543469303667079,0.055212196126905644,0.03543469303667079,0.2138442521631644,0.23856613102595797,EWS_u_65_SVM
4+,231,46,91,185,185,738,468,0.09517923362175525,0.018953440461475072,0.03749484960857025,0.07622579316028018,0.07622579316028018,0.30407911001236093,0.19283065512978986,EWS_u_65_SVM
0,126,9,32,55,104,326,887,0.0519159456118665,0.003708281829419036,0.013185002060156572,0.02266172229089411,0.042851256695508856,0.13432220848784507,0.365471775854965,EWS_u_65_XGB
1,117,7,12,76,140,352,69,0.048207663782447466,0.00288421920065925,0.004944375772558714,0.031314379892871856,0.057684384013185,0.1450350226617223,0.02843016069221261,EWS_u_65_XGB
2,168,20,18,131,155,492,95,0.069221260815822,0.008240626287597858,0.007416563658838072,0.053976102183765966,0.0638648537288834,0.2027194066749073,0.03914297486608982,EWS_u_65_XGB
3,215,12,18,113,161,519,535,0.08858673259167697,0.004944375772558714,0.007416563658838072,0.0465595385249279,0.06633704161516275,0.2138442521631644,0.22043675319324268,EWS_u_65_XGB
4+,261,21,15,160,281,738,841,0.10754017305315204,0.00865265760197775,0.006180469715698393,0.06592501030078286,0.11578079934074989,0.30407911001236093,0.3465183353934899,EWS_u_65_XGB
0,113,42,54,62,55,326,529,0.0465595385249279,0.0173053152039555,0.022249690976514216,0.02554594149155336,0.02266172229089411,0.13432220848784507,0.21796456530696334,EWS_u_65_LSTM
1,97,52,43,87,73,352,240,0.03996703749484961,0.021425628347754428,0.017717346518335394,0.03584672435105068,0.030078285949732178,0.1450350226617223,0.09888751545117429,EWS_u_65_LSTM
