,3-4d,5-6d,7d,8-9d,10-13d,2w,3w,4w,sum_real,sum_pred,3-4d,5-6d,7d,8-9d,10-13d,2w,3w,4w,sum_real,sum_pred,name
3-4d,182,137,73,83,63,79,44,46,707,1465,0.023061327927014697,0.017359351241763812,0.009249873289406994,0.010516979219462748,0.007982767359351241,0.010010136847440445,0.005575266092245312,0.005828687278256462,0.08958438925494171,0.18563101875316776,LOS_All_SVM
5-6d,290,278,122,115,102,103,58,84,1152,1565,0.03674607197161683,0.03522554485554993,0.015458692346680182,0.014571718195641155,0.012924480486568676,0.013051191079574252,0.007349214394323365,0.010643689812468323,0.14597060314242272,0.1983020780537253,LOS_All_SVM
7d,141,121,75,64,58,61,35,43,598,916,0.01786619361378611,0.015331981753674607,0.009503294475418145,0.008109477952356817,0.007349214394323365,0.007729346173340091,0.004434870755195134,0.005448555499239736,0.075772934617334,0.11606690319310695,LOS_All_SVM
8-9d,204,236,121,122,110,109,66,75,1043,873,0.025848960973137353,0.029903699949315764,0.015331981753674607,0.015458692346680182,0.013938165230613279,0.013811454637607704,0.008362899138367968,0.009503294475418145,0.132159148504815,0.1106183476938672,LOS_All_SVM
10-13d,237,272,167,149,163,161,136,144,1429,827,0.030030410542321338,0.03446528129751647,0.02116066903193107,0.018879878357830716,0.020653826659908767,0.02040040547389762,0.017232640648758235,0.01824632539280284,0.18106943740496706,0.10478966041561075,LOS_All_SVM
2w,33,52,23,21,29,36,31,24,249,855,0.004181449569183984,0.006588950836289914,0.002914343639128231,0.0026609224531170808,0.0036746071971616827,0.00456158134820071,0.003928028383172833,0.0030410542321338066,0.03155093765838824,0.10833755701976686,LOS_All_SVM
3w,149,205,151,131,110,116,103,118,1083,636,0.018879878357830716,0.02597567156614293,0.019133299543841867,0.01659908768373036,0.013938165230613279,0.01469842878864673,0.013051191079574252,0.014951849974657882,0.137227572225038,0.08058793715154587,LOS_All_SVM
4w,229,264,184,188,192,190,163,221,1631,755,0.029016725798276737,0.03345159655347187,0.02331474911302585,0.02382159148504815,0.024328433857070453,0.0240750126710593,0.020653826659908767,0.028003041054232135,0.20666497719209326,0.09566649771920932,LOS_All_SVM
3-4d,187,106,119,65,75,26,35,94,707,1378,0.023694880892042573,0.013431322858590979,0.015078560567663457,0.008236188545362393,0.009503294475418145,0.003294475418144957,0.004434870755195134,0.011910795742524075,0.08958438925494171,0.17460719716168271,LOS_All_XGB
5-6d,266,172,202,127,120,54,52,159,1152,947,0.03370501773948302,0.021794221996958945,0.025595539787126205,0.01609224531170806,0.015205271160669031,0.006842372022301064,0.006588950836289914,0.020146984287886468,0.14597060314242272,0.11999493157627977,LOS_All_XGB
