,DataType,CollectionTime,Skewness,FeatureEngineering,Classifier,CurbStrat,AgeStrat,AUC,Recall,Precision,Accuracy,Brier,F1_score
0,Static,1st,Bal,XGB,GRU,,,0.7098565655433511,0.6162551440329218,0.3899739583333333,0.6680182463253928,0.204147235001182,0.47767145135566186
0,Static,1st,Bal,XGB,GRU,,>65,0.6557991487445936,0.5695970695970696,0.4148510449088484,0.6228774025004665,0.22293522706495048,0.48006174427579107
0,Static,1st,Bal,XGB,GRU,,<65,0.689744989449155,0.5392156862745098,0.22540983606557377,0.720489538097118,0.18285517351933073,0.3179190751445087
0,Static,1st,Bal,RFT,GRU,,,0.7117821185528352,0.6430041152263375,0.38156288156288154,0.6553471870248353,0.20388763445546518,0.4789272030651341
0,Static,1st,Bal,RFT,GRU,,>65,0.6597290105755572,0.5518925518925519,0.43692605123247946,0.6456428438141444,0.22096088898668878,0.48772592392770436
0,Static,1st,Bal,RFT,GRU,,<65,0.688011950776419,0.45098039215686275,0.23154362416107382,0.7528622187129885,0.16976789676350704,0.3059866962305987
0,Static,1st,Bal,STA,GRU,,,0.7040441888686864,0.5931069958847737,0.3819145412388208,0.6633299543841865,0.20176685640833833,0.46463832359460006
0,Static,1st,Bal,STA,GRU,,>65,0.6489411481349132,0.5177045177045178,0.42591662481165243,0.6392983765627915,0.22300317856918225,0.46734637641223475
0,Static,1st,Bal,STA,GRU,,<65,0.7033635037610314,0.4869281045751634,0.25126475548060706,0.7627319384129491,0.16319462597321324,0.3314794215795328
0,Static,1st,Bal,NoF,GRU,,,0.7138579797199874,0.5843621399176955,0.39831697054698456,0.6801824632539281,0.19823965070351332,0.4737281067556297
0,Static,1st,Bal,NoF,GRU,,>65,0.6583244161852064,0.5811965811965812,0.4149956408020924,0.6215711886545997,0.22895126655641013,0.4842319430315361
0,Static,1st,Bal,NoF,GRU,,<65,0.6957233125251299,0.5294117647058824,0.23858615611192932,0.7390446111330439,0.1702897565678109,0.32893401015228424
0,Static,Pnt,Bal,XGB,LSTM,,,0.7227792618330056,0.7150205761316872,0.37415881561238223,0.6352002027369488,0.21311373457424687,0.4912528715320728
0,Static,Pnt,Bal,XGB,LSTM,,>65,0.672714002531256,0.5976800976800977,0.4329942503317116,0.6378055607389438,0.22406115625339618,0.5021800461656835
0,Static,Pnt,Bal,XGB,LSTM,,<65,0.7013068960558329,0.565359477124183,0.23796423658872076,0.7287801026450849,0.2133869757157654,0.33494675701839305
0,Static,Pnt,Bal,RFT,LSTM,,,0.7196229202470796,0.6332304526748971,0.39455128205128204,0.6702990369994931,0.2017446915230794,0.48617693522906796
0,Static,Pnt,Bal,RFT,LSTM,,>65,0.6700464872999138,0.5787545787545788,0.43848288621646625,0.6447098339242396,0.2277283908076917,0.4989473684210527
0,Static,Pnt,Bal,RFT,LSTM,,<65,0.6987022020303407,0.5261437908496732,0.24922600619195046,0.7512830635609948,0.1672075244481368,0.3382352941176471
0,Static,Pnt,Bal,STA,LSTM,,,0.7100068737010192,0.5797325102880658,0.4006398862424458,0.6828433857070451,0.19869840913381875,0.47382804288417074
0,Static,Pnt,Bal,STA,LSTM,,>65,0.6572444322377136,0.5958485958485958,0.4199655765920826,0.6249300242582572,0.22165490517368716,0.49268046441191315
0,Static,Pnt,Bal,STA,LSTM,,<65,0.7090652156686653,0.477124183006536,0.24333333333333335,0.7575996841689696,0.1709756151541705,0.3222958057395144
0,Static,Pnt,Bal,NoF,LSTM,,,0.7227952612629067,0.6790123456790124,0.38823529411764707,0.6573745565129245,0.206399553692105,0.49401197604790414
0,Static,Pnt,Bal,NoF,LSTM,,>65,0.6751867679037794,0.6343101343101343,0.42425479787668435,0.6251166262362381,0.22258655633934366,0.508441399559579
0,Static,Pnt,Bal,NoF,LSTM,,<65,0.6999143018979782,0.565359477124183,0.24963924963924963,0.7422029214370311,0.1829640348710953,0.3463463463463463
0,Static,Pnt,Bal,XGB,LR,,,0.7184079581337296,0.573045267489712,0.41243983709737136,0.6937404967055246,0.19565168067704738,0.4796555435952637
0,Static,Pnt,Bal,XGB,LR,,>65,0.6642438602933093,0.6282051282051282,0.4206868356500409,0.6219443926105617,0.23522249586932323,0.5039177277179236
0,Static,Pnt,Bal,XGB,LR,,<65,0.7064502496103965,0.4803921568627451,0.24540901502504173,0.7587840505329648,0.1678688577203811,0.3248618784530387
0,Static,Pnt,Bal,RFT,LR,,,0.7176022787339383,0.6136831275720165,0.4033130493576741,0.6811961479979727,0.20273452779088005,0.4867401060791513
0,Static,Pnt,Bal,RFT,LR,,>65,0.6715915247224035,0.5836385836385837,0.42869955156950673,0.6350065310692293,0.22406165777026874,0.4943123061013444
0,Static,Pnt,Bal,RFT,LR,,<65,0.7066307439006136,0.45098039215686275,0.24295774647887325,0.7639163047769444,0.16610649876417358,0.31578947368421056
0,Static,Pnt,Bal,STA,LR,,,0.7113808787959296,0.5838477366255144,0.3996478873239437,0.6814495691839838,0.2020197085984699,0.4744983277591973
0,Static,Pnt,Bal,STA,LR,,>65,0.6596750318868029,0.5586080586080586,0.4340607210626186,0.642470610188468,0.22474454979127143,0.48852108916177256
0,Static,Pnt,Bal,STA,LR,,<65,0.7171537077636023,0.46078431372549017,0.2478031634446397,0.7658902487169365,0.16399753253787566,0.32228571428571423
